시간대,날씨,나이대,직업,회복태그
심야,흐림,30대,학생,안정
심야,비,40대,프리랜서,집중력
오후,비,30대,학생,힐링
오전,눈,20대,회사원,감정 정화
저녁,눈,30대,학생,감정 정화
심야,흐림,30대,프리랜서,힐링
저녁,비,20대,회사원,감정 정화
저녁,흐림,50대 이상,회사원,에너지
오후,비,40대,학생,힐링
심야,눈,20대,회사원,감정 정화
오전,흐림,20대,학생,에너지
오후,흐림,40대,학생,에너지
심야,눈,40대,학생,집중력
오후,맑음,30대,학생,감정 정화
심야,흐림,40대,학생,에너지
심야,맑음,30대,학생,감정 정화
심야,비,40대,회사원,힐링
저녁,비,40대,프리랜서,에너지
저녁,흐림,30대,프리랜서,감정 정화
저녁,맑음,30대,프리랜서,감정 정화
오후,비,30대,학생,안정
오전,눈,30대,프리랜서,집중력
저녁,흐림,40대,회사원,에너지
오전,눈,40대,프리랜서,감정 정화
심야,비,50대 이상,프리랜서,안정
심야,비,20대,프리랜서,힐링
오후,맑음,30대,프리랜서,집중력
심야,비,30대,학생,안정
오후,비,20대,학생,집중력
오전,맑음,50대 이상,회사원,안정
오후,흐림,20대,회사원,안정
심야,눈,50대 이상,학생,감정 정화
오전,비,20대,학생,집중력
오후,맑음,50대 이상,학생,힐링
오전,비,50대 이상,학생,힐링
저녁,맑음,40대,학생,힐링
오전,눈,30대,회사원,힐링
심야,맑음,50대 이상,회사원,에너지
심야,비,30대,프리랜서,안정
오후,눈,40대,프리랜서,에너지
저녁,비,40대,프리랜서,에너지
심야,눈,50대 이상,회사원,안정
오후,비,50대 이상,학생,집중력
심야,맑음,20대,회사원,감정 정화
오후,맑음,50대 이상,학생,안정
심야,눈,40대,학생,에너지
오전,눈,30대,회사원,에너지
오전,흐림,30대,회사원,감정 자극
저녁,맑음,20대,학생,힐링
오전,비,50대 이상,회사원,안정
심야,흐림,50대 이상,회사원,힐링
저녁,맑음,40대,회사원,안정
저녁,맑음,50대 이상,프리랜서,감정 자극
저녁,눈,40대,프리랜서,힐링
오전,비,30대,학생,집중력
오후,비,50대 이상,프리랜서,힐링
심야,눈,30대,프리랜서,안정
심야,흐림,50대 이상,회사원,감정 자극
오전,눈,30대,회사원,감정 자극
오전,눈,20대,프리랜서,집중력
심야,비,40대,프리랜서,안정
오전,비,50대 이상,회사원,집중력
오전,맑음,30대,회사원,집중력
저녁,맑음,40대,학생,에너지
오전,눈,40대,학생,집중력
오전,흐림,40대,회사원,안정
저녁,맑음,50대 이상,학생,감정 정화
저녁,맑음,50대 이상,프리랜서,집중력
오전,맑음,40대,프리랜서,안정
심야,흐림,20대,학생,집중력
저녁,눈,40대,학생,집중력
저녁,흐림,40대,회사원,감정 정화
오후,비,30대,프리랜서,에너지
심야,흐림,20대,회사원,힐링
저녁,흐림,50대 이상,학생,감정 자극
저녁,눈,40대,프리랜서,안정
오전,흐림,50대 이상,프리랜서,감정 자극
오전,맑음,30대,학생,집중력
저녁,흐림,40대,회사원,안정
심야,맑음,30대,학생,안정
심야,비,50대 이상,회사원,안정
오전,눈,50대 이상,프리랜서,힐링
심야,맑음,40대,프리랜서,안정
심야,비,20대,회사원,힐링
심야,맑음,20대,학생,안정
오후,맑음,20대,학생,감정 정화
오전,맑음,40대,프리랜서,감정 정화
오전,눈,20대,회사원,집중력
오전,비,40대,회사원,안정
오전,맑음,30대,프리랜서,집중력
심야,눈,30대,학생,감정 정화
오후,눈,20대,회사원,감정 자극
저녁,흐림,30대,회사원,감정 자극
오후,맑음,30대,학생,안정
심야,맑음,40대,프리랜서,집중력
저녁,흐림,20대,학생,집중력
저녁,흐림,20대,프리랜서,안정
오전,눈,30대,회사원,감정 정화
저녁,눈,50대 이상,회사원,감정 정화
오후,눈,30대,프리랜서,안정
