NAME,LAT,LON,weather,temperature,humidity
우성헬스,37.5758417,127.0236765,구름조금,22.33,43
중앙24시헬스,37.563293,126.9547724,약간의 구름이 낀 하늘,20.76,52
헬스토피아,37.4921777,126.8433946,약간의 구름이 낀 하늘,20.96,52
휘트니스센터,37.5612962,126.9832412,약간의 구름이 낀 하늘,20.77,52
동방헬스,37.6137685,127.0517249,구름조금,22.88,43
에너지플러스,37.5231877,127.0391653,구름조금,22.91,43
진여성전용휘트니스,37.5494977,126.9132614,약간의 구름이 낀 하늘,20.97,52
신사헬스클럽,37.5187492,127.0241275,구름조금,22.69,43
그린헬스,37.5943804,127.0771237,구름조금,22.87,43
우진헬스클럽,37.572777,127.0066709,구름조금,22.19,47
한남헬스,37.5342019,127.0048434,구름조금,22.44,46
동산헬스,37.5767643,127.0576969,구름조금,22.73,43
헬스클럽,37.5090303,127.025855,구름조금,22.94,43
무지개헬스클럽,37.5690037,126.9045248,약간의 구름이 낀 하늘,21,52
용마헬스클럽,37.5816841,127.0886238,구름조금,22.95,43
펌프헬스클럽,37.5357127,126.8704635,약간의 구름이 낀 하늘,20.99,52
챠밍헬스클럽,37.5935458,127.017058,구름조금,22.89,43
종로헬스,37.5691738,126.9860324,약간의 구름이 낀 하늘,20.86,52
고려헬스,37.588269,127.0359904,구름조금,22.41,43
유진헬스크럽,37.505551,126.9342135,약간의 구름이 낀 하늘,21.59,48
그랜드헬스클럽,37.5267047,127.002788,구름조금,22.44,46
스타헬스,37.5767643,127.0576969,구름조금,22.73,43
한양남여헬스,37.5834824,127.0441365,구름조금,22.52,43
대도헬스클럽,37.5810816,127.0843842,구름조금,22.97,43
유성헬스크럽,37.5055742,127.0249179,구름조금,22.91,43
코리아헬스,37.5575292,127.0735504,구름조금,22.99,43
바위헬스,37.532924,126.8363283,약간의 구름이 낀 하늘,21,52
한미헬스피아,37.5316672,127.0057043,구름조금,22.48,46
파워헬스클럽,37.4861424,127.0173723,구름조금,22.88,43
킹헬스토피아,37.511167,127.114537,구름조금,23.17,42
캘리포니아,37.5231877,127.0391653,구름조금,22.91,43
충암스포츠센터,37.5830286,126.9233761,약간의 구름이 낀 하늘,20.82,52
대성스포츠센터,37.5633231,127.0869713,구름조금,22.87,43
우창볼링센터,37.5899957,127.0624325,구름조금,22.74,43
길동볼링센터,37.5375025,127.1398729,구름조금,22.96,43
한산체육관,37.5324351,127.1441069,구름조금,22.91,43
전농체육관,37.5788448,127.0534646,구름조금,22.67,43
현대체육관,37.6129309,126.9137875,약간의 구름이 낀 하늘,20.91,52
전우체육관,37.6629079,127.0725669,맑음,22.86,43
마을종합체육관,37.5313695,127.1208518,구름조금,23.14,43
그랜드볼링센터,37.4766687,126.8906247,약간의 구름이 낀 하늘,20.97,52
서울특별시교육청학생체육관,37.5115211,127.0757714,구름조금,23.05,43
동문체육관,37.5671666,127.071135,구름조금,22.99,43
세종볼링센터,37.5729873,126.9726494,약간의 구름이 낀 하늘,20.81,52
종합체육관,37.5476621,127.0211345,구름조금,22.36,43
진리체육관,37.5830286,126.9233761,약간의 구름이 낀 하늘,20.82,52
우성스포닉센터,37.4967762,126.9159857,약간의 구름이 낀 하늘,20.92,52
태릉선수촌개선관,37.6317176,127.1005228,맑음,22.82,43
태성체육관,37.6092182,127.0621339,구름조금,22.99,43
곰두리체육센터,37.5056449,127.1391853,구름조금,22.97,43
위너스볼링장,37.4669034,126.8978902,약간의 구름이 낀 하늘,20.9,52
대청레포츠센터,37.489715,127.0695778,구름조금,23.07,42
용성스포츠센터,37.5747671,127.0536195,구름조금,22.73,43
개운스포츠센터,37.5995928,127.0266999,구름조금,22.59,43
신사스포츠센터,37.5161333,127.0120671,구름조금,22.76,43
동천빙상경기장,37.6438142,127.0734347,맑음,22.86,43
크리스탈수영장,37.5236257,127.0215285,구름조금,22.69,43
잠실카트체험장,37.5122807,127.0855986,구름조금,23.1,43
골드수영장,37.5509773,127.1108714,구름조금,23.13,43
